i,j,height_m,W_road_m,W_roof_m,is_urban,roof_mat_id,wall_mat_id,road_mat_id
2,14,25.0,10.0,10.0,1,2,2,2
2,15,25.0,10.0,10.0,1,2,2,2
3,0,5.0,10.0,10.0,1,1,1,1
3,1,5.0,10.0,10.0,1,1,1,1
3,2,5.0,10.0,10.0,1,1,1,1
3,3,5.0,10.0,10.0,1,1,1,1
3,4,5.0,10.0,10.0,1,1,1,1
3,5,5.0,10.0,10.0,1,1,1,1
3,6,5.0,10.0,10.0,1,1,1,1
3,7,5.0,10.0,10.0,1,1,1,1
3,8,25.0,10.0,10.0,1,2,2,2
3,9,25.0,10.0,10.0,1,2,2,2
3,10,25.0,10.0,10.0,1,2,2,2
3,11,25.0,10.0,10.0,1,2,2,2
3,12,25.0,10.0,10.0,1,2,2,2
3,13,25.0,10.0,10.0,1,2,2,2
3,14,25.0,10.0,10.0,1,2,2,2
3,15,25.0,10.0,10.0,1,2,2,2
4,0,5.0,10.0,10.0,1,1,1,1
4,1,5.0,10.0,10.0,1,1,1,1
4,2,5.0,10.0,10.0,1,1,1,1
4,3,5.0,10.0,10.0,1,1,1,1
4,4,5.0,10.0,10.0,1,1,1,1
4,5,5.0,10.0,10.0,1,1,1,1
4,6,5.0,10.0,10.0,1,1,1,1
4,7,5.0,10.0,10.0,1,1,1,1
4,8,25.0,10.0,10.0,1,2,2,2
4,9,25.0,10.0,10.0,1,2,2,2
4,10,25.0,10.0,10.0,1,2,2,2
4,11,25.0,10.0,10.0,1,2,2,2
4,12,25.0,10.0,10.0,1,2,2,2
4,13,25.0,10.0,10.0,1,2,2,2
4,14,25.0,10.0,10.0,1,2,2,2
4,15,25.0,10.0,10.0,1,2,2,2
5,0,5.0,10.0,10.0,1,1,1,1
5,1,5.0,10.0,10.0,1,1,1,1
5,2,5.0,10.0,10.0,1,1,1,1
5,3,5.0,10.0,10.0,1,1,1,1
5,4,5.0,10.0,10.0,1,1,1,1
5,5,5.0,10.0,10.0,1,1,1,1
5,6,5.0,10.0,10.0,1,1,1,1
5,7,5.0,10.0,10.0,1,1,1,1
5,8,25.0,10.0,10.0,1,2,2,2
5,9,25.0,10.0,10.0,1,2,2,2
5,10,25.0,10.0,10.0,1,2,2,2
5,11,25.0,10.0,10.0,1,2,2,2
5,12,25.0,10.0,10.0,1,2,2,2
5,13,25.0,10.0,10.0,1,2,2,2
5,14,25.0,10.0,10.0,1,2,2,2
5,15,25.0,10.0,10.0,1,2,2,2
6,0,5.0,10.0,10.0,1,1,1,1
6,1,5.0,10.0,10.0,1,1,1,1
6,2,5.0,10.0,10.0,1,1,1,1
6,3,5.0,10.0,10.0,1,1,1,1
6,4,5.0,10.0,10.0,1,1,1,1
6,5,5.0,10.0,10.0,1,1,1,1
6,6,5.0,10.0,10.0,1,1,1,1
6,7,5.0,10.0,10.0,1,1,1,1
6,8,25.0,10.0,10.0,1,2,2,2
6,9,25.0,10.0,10.0,1,2,2,2
6,10,25.0,10.0,10.0,1,2,2,2
6,11,25.0,10.0,10.0,1,2,2,2
6,12,25.0,10.0,10.0,1,2,2,2
6,13,25.0,10.0,10.0,1,2,2,2
6,14,25.0,10.0,10.0,1,2,2,2
6,15,25.0,10.0,10.0,1,2,2,2
7,0,5.0,10.0,10.0,1,1,1,1
7,1,5.0,10.0,10.0,1,1,1,1
7,2,5.0,10.0,10.0,1,1,1,1
7,3,5.0,10.0,10.0,1,1,1,1
7,4,5.0,10.0,10.0,1,1,1,1
7,5,5.0,10.0,10.0,1,1,1,1
7,6,5.0,10.0,10.0,1,1,1,1
7,7,5.0,10.0,10.0,1,1,1,1
7,8,25.0,10.0,10.0,1,2,2,2
7,9,25.0,10.0,10.0,1,2,2,2
7,10,25.0,10.0,10.0,1,2,2,2
7,11,25.0,10.0,10.0,1,2,2,2
7,12,25.0,10.0,10.0,1,2,2,2
7,13,25.0,10.0,10.0,1,2,2,2
7,14,25.0,10.0,10.0,1,2,2,2
7,15,25.0,10.0,10.0,1,2,2,2
8,0,5.0,10.0,10.0,1,1,1,1
8,1,5.0,10.0,10.0,1,1,1,1
8,2,5.0,10.0,10.0,1,1,1,1
8,3,5.0,10.0,10.0,1,1,1,1
8,4,5.0,10.0,10.0,1,1,1,1
8,5,5.0,10.0,10.0,1,1,1,1
8,6,5.0,10.0,10.0,1,1,1,1
8,7,5.0,10.0,10.0,1,1,1,1
8,8,25.0,10.0,10.0,1,2,2,2
8,9,25.0,10.0,10.0,1,2,2,2
8,10,25.0,10.0,10.0,1,2,2,2
8,11,25.0,10.0,10.0,1,2,2,2
8,12,25.0,10.0,10.0,1,2,2,2
8,13,25.0,10.0,10.0,1,2,2,2
8,14,25.0,10.0,10.0,1,2,2,2
8,15,25.0,10.0,10.0,1,2,2,2
9,0,5.0,10.0,10.0,1,1,1,1
9,1,5.0,10.0,10.0,1,1,1,1
9,2,5.0,10.0,10.0,1,1,1,1
9,3,5.0,10.0,10.0,1,1,1,1
9,4,5.0,10.0,10.0,1,1,1,1
9,5,5.0,10.0,10.0,1,1,1,1
9,6,5.0,10.0,10.0,1,1,1,1
9,7,5.0,10.0,10.0,1,1,1,1
9,8,25.0,10.0,10.0,1,2,2,2
9,9,25.0,10.0,10.0,1,2,2,2
9,10,25.0,10.0,10.0,1,2,2,2
9,11,25.0,10.0,10.0,1,2,2,2
9,12,25.0,10.0,10.0,1,2,2,2
9,13,25.0,10.0,10.0,1,2,2,2
9,14,25.0,10.0,10.0,1,2,2,2
9,15,25.0,10.0,10.0,1,2,2,2
10,0,5.0,10.0,10.0,1,1,1,1
10,1,5.0,10.0,10.0,1,1,1,1
10,2,5.0,10.0,10.0,1,1,1,1
10,3,5.0,10.0,10.0,1,1,1,1
10,4,5.0,10.0,10.0,1,1,1,1
10,5,5.0,10.0,10.0,1,1,1,1
10,6,5.0,10.0,10.0,1,1,1,1
10,7,5.0,10.0,10.0,1,1,1,1
10,8,25.0,10.0,10.0,1,2,2,2
10,9,25.0,10.0,10.0,1,2,2,2
10,10,25.0,10.0,10.0,1,2,2,2
10,11,25.0,10.0,10.0,1,2,2,2
10,12,25.0,10.0,10.0,1,2,2,2
10,13,25.0,10.0,10.0,1,2,2,2
10,14,25.0,10.0,10.0,1,2,2,2
10,15,25.0,10.0,10.0,1,2,2,2
11,0,5.0,10.0,10.0,1,1,1,1
11,1,5.0,10.0,10.0,1,1,1,1
11,2,5.0,10.0,10.0,1,1,1,1
11,3,5.0,10.0,10.0,1,1,1,1
11,4,5.0,10.0,10.0,1,1,1,1
11,5,5.0,10.0,10.0,1,1,1,1
11,6,5.0,10.0,10.0,1,1,1,1
11,7,5.0,10.0,10.0,1,1,1,1
11,8,25.0,10.0,10.0,1,2,2,2
11,9,25.0,10.0,10.0,1,2,2,2
11,10,25.0,10.0,10.0,1,2,2,2
11,11,25.0,10.0,10.0,1,2,2,2
11,12,25.0,10.0,10.0,1,2,2,2
11,13,25.0,10.0,10.0,1,2,2,2
11,14,25.0,10.0,10.0,1,2,2,2
11,15,25.0,10.0,10.0,1,2,2,2
12,0,5.0,10.0,10.0,1,1,1,1
12,1,5.0,10.0,10.0,1,1,1,1
12,2,5.0,10.0,10.0,1,1,1,1
12,3,5.0,10.0,10.0,1,1,1,1
12,4,5.0,10.0,10.0,1,1,1,1
12,5,5.0,10.0,10.0,1,1,1,1
12,6,5.0,10.0,10.0,1,1,1,1
12,7,5.0,10.0,10.0,1,1,1,1
12,8,25.0,10.0,10.0,1,2,2,2
12,9,25.0,10.0,10.0,1,2,2,2
12,10,25.0,10.0,10.0,1,2,2,2
12,11,25.0,10.0,10.0,1,2,2,2
12,12,25.0,10.0,10.0,1,2,2,2
12,13,25.0,10.0,10.0,1,2,2,2
12,14,25.0,10.0,10.0,1,2,2,2
12,15,25.0,10.0,10.0,1,2,2,2
13,0,5.0,10.0,10.0,1,1,1,1
13,1,5.0,10.0,10.0,1,1,1,1
13,2,5.0,10.0,10.0,1,1,1,1
13,3,5.0,10.0,10.0,1,1,1,1
13,4,5.0,10.0,10.0,1,1,1,1
13,5,5.0,10.0,10.0,1,1,1,1
13,6,5.0,10.0,10.0,1,1,1,1
13,7,5.0,10.0,10.0,1,1,1,1
13,8,25.0,10.0,10.0,1,2,2,2
13,9,25.0,10.0,10.0,1,2,2,2
13,10,25.0,10.0,10.0,1,2,2,2
13,11,25.0,10.0,10.0,1,2,2,2
13,12,25.0,10.0,10.0,1,2,2,2
13,13,25.0,10.0,10.0,1,2,2,2
13,14,25.0,10.0,10.0,1,2,2,2
13,15,25.0,10.0,10.0,1,2,2,2
14,0,5.0,10.0,10.0,1,1,1,1
14,1,5.0,10.0,10.0,1,1,1,1
14,2,5.0,10.0,10.0,1,1,1,1
14,3,5.0,10.0,10.0,1,1,1,1
14,4,5.0,10.0,10.0,1,1,1,1
14,5,5.0,10.0,10.0,1,1,1,1
14,6,5.0,10.0,10.0,1,1,1,1
14,7,5.0,10.0,10.0,1,1,1,1
14,8,25.0,10.0,10.0,1,2,2,2
14,9,25.0,10.0,10.0,1,2,2,2
14,10,25.0,10.0,10.0,1,2,2,2
14,11,25.0,10.0,10.0,1,2,2,2
14,12,25.0,10.0,10.0,1,2,2,2
14,13,25.0,10.0,10.0,1,2,2,2
14,14,25.0,10.0,10.0,1,2,2,2
14,15,25.0,10.0,10.0,1,2,2,2
15,0,5.0,10.0,10.0,1,1,1,1
15,1,5.0,10.0,10.0,1,1,1,1
15,2,5.0,10.0,10.0,1,1,1,1
15,3,5.0,10.0,10.0,1,1,1,1
15,4,5.0,10.0,10.0,1,1,1,1
15,5,5.0,10.0,10.0,1,1,1,1
15,6,5.0,10.0,10.0,1,1,1,1
15,7,5.0,10.0,10.0,1,1,1,1
15,8,25.0,10.0,10.0,1,2,2,2
15,9,25.0,10.0,10.0,1,2,2,2
15,10,25.0,10.0,10.0,1,2,2,2
15,11,25.0,10.0,10.0,1,2,2,2
15,12,25.0,10.0,10.0,1,2,2,2
15,13,25.0,10.0,10.0,1,2,2,2
15,14,25.0,10.0,10.0,1,2,2,2
15,15,25.0,10.0,10.0,1,2,2,2
