i,j,height_m,W_road_m,W_roof_m,is_urban,roof_mat_id,wall_mat_id,road_mat_id
9,14,15.0,10.0,10.0,1,2,2,2
9,15,15.0,10.0,10.0,1,1,1,1
10,0,15.0,10.0,10.0,1,1,1,1
10,1,15.0,10.0,10.0,1,2,2,2
10,2,15.0,10.0,10.0,1,1,1,1
10,3,15.0,10.0,10.0,1,2,2,2
10,4,15.0,10.0,10.0,1,1,1,1
10,5,15.0,10.0,10.0,1,2,2,2
10,6,15.0,10.0,10.0,1,1,1,1
10,7,15.0,10.0,10.0,1,2,2,2
10,8,15.0,10.0,10.0,1,1,1,1
10,9,15.0,10.0,10.0,1,2,2,2
10,10,15.0,10.0,10.0,1,1,1,1
10,11,15.0,10.0,10.0,1,2,2,2
10,12,15.0,10.0,10.0,1,1,1,1
10,13,15.0,10.0,10.0,1,2,2,2
10,14,15.0,10.0,10.0,1,1,1,1
10,15,15.0,10.0,10.0,1,2,2,2
11,0,15.0,10.0,10.0,1,2,2,2
11,1,15.0,10.0,10.0,1,1,1,1
11,2,15.0,10.0,10.0,1,2,2,2
11,3,15.0,10.0,10.0,1,1,1,1
11,4,15.0,10.0,10.0,1,2,2,2
11,5,15.0,10.0,10.0,1,1,1,1
11,6,15.0,10.0,10.0,1,2,2,2
11,7,15.0,10.0,10.0,1,1,1,1
11,8,15.0,10.0,10.0,1,2,2,2
11,9,15.0,10.0,10.0,1,1,1,1
11,10,15.0,10.0,10.0,1,2,2,2
11,11,15.0,10.0,10.0,1,1,1,1
11,12,15.0,10.0,10.0,1,2,2,2
11,13,15.0,10.0,10.0,1,1,1,1
11,14,15.0,10.0,10.0,1,2,2,2
11,15,15.0,10.0,10.0,1,1,1,1
12,0,15.0,10.0,10.0,1,1,1,1
12,1,15.0,10.0,10.0,1,2,2,2
12,2,15.0,10.0,10.0,1,1,1,1
12,3,15.0,10.0,10.0,1,2,2,2
12,4,15.0,10.0,10.0,1,1,1,1
12,5,15.0,10.0,10.0,1,2,2,2
12,6,15.0,10.0,10.0,1,1,1,1
12,7,15.0,10.0,10.0,1,2,2,2
12,8,15.0,10.0,10.0,1,1,1,1
12,9,15.0,10.0,10.0,1,2,2,2
12,10,15.0,10.0,10.0,1,1,1,1
12,11,15.0,10.0,10.0,1,2,2,2
12,12,15.0,10.0,10.0,1,1,1,1
12,13,15.0,10.0,10.0,1,2,2,2
12,14,15.0,10.0,10.0,1,1,1,1
12,15,15.0,10.0,10.0,1,2,2,2
13,0,15.0,10.0,10.0,1,2,2,2
13,1,15.0,10.0,10.0,1,1,1,1
13,2,15.0,10.0,10.0,1,2,2,2
13,3,15.0,10.0,10.0,1,1,1,1
13,4,15.0,10.0,10.0,1,2,2,2
13,5,15.0,10.0,10.0,1,1,1,1
13,6,15.0,10.0,10.0,1,2,2,2
13,7,15.0,10.0,10.0,1,1,1,1
13,8,15.0,10.0,10.0,1,2,2,2
13,9,15.0,10.0,10.0,1,1,1,1
13,10,15.0,10.0,10.0,1,2,2,2
13,11,15.0,10.0,10.0,1,1,1,1
13,12,15.0,10.0,10.0,1,2,2,2
13,13,15.0,10.0,10.0,1,1,1,1
13,14,15.0,10.0,10.0,1,2,2,2
13,15,15.0,10.0,10.0,1,1,1,1
14,0,15.0,10.0,10.0,1,1,1,1
14,1,15.0,10.0,10.0,1,2,2,2
14,2,15.0,10.0,10.0,1,1,1,1
14,3,15.0,10.0,10.0,1,2,2,2
14,4,15.0,10.0,10.0,1,1,1,1
14,5,15.0,10.0,10.0,1,2,2,2
14,6,15.0,10.0,10.0,1,1,1,1
14,7,15.0,10.0,10.0,1,2,2,2
14,8,15.0,10.0,10.0,1,1,1,1
14,9,15.0,10.0,10.0,1,2,2,2
14,10,15.0,10.0,10.0,1,1,1,1
14,11,15.0,10.0,10.0,1,2,2,2
14,12,15.0,10.0,10.0,1,1,1,1
14,13,15.0,10.0,10.0,1,2,2,2
14,14,15.0,10.0,10.0,1,1,1,1
14,15,15.0,10.0,10.0,1,2,2,2
15,0,15.0,10.0,10.0,1,2,2,2
15,1,15.0,10.0,10.0,1,1,1,1
15,2,15.0,10.0,10.0,1,2,2,2
15,3,15.0,10.0,10.0,1,1,1,1
15,4,15.0,10.0,10.0,1,2,2,2
15,5,15.0,10.0,10.0,1,1,1,1
15,6,15.0,10.0,10.0,1,2,2,2
15,7,15.0,10.0,10.0,1,1,1,1
15,8,15.0,10.0,10.0,1,2,2,2
15,9,15.0,10.0,10.0,1,1,1,1
15,10,15.0,10.0,10.0,1,2,2,2
15,11,15.0,10.0,10.0,1,1,1,1
15,12,15.0,10.0,10.0,1,2,2,2
15,13,15.0,10.0,10.0,1,1,1,1
15,14,15.0,10.0,10.0,1,2,2,2
15,15,15.0,10.0,10.0,1,1,1,1
