i_ucm,j_ucm,height_m,plan_area_frac,is_urban
5,6,30.0,0.6,1
5,7,30.0,0.6,1
5,8,30.0,0.6,1
5,9,30.0,0.6,1
5,10,30.0,0.6,1
5,11,30.0,0.6,1
5,12,30.0,0.6,1
5,13,30.0,0.6,1
5,14,30.0,0.6,1
5,15,30.0,0.6,1
6,0,30.0,0.6,1
6,1,30.0,0.6,1
6,2,30.0,0.6,1
6,3,30.0,0.6,1
6,4,30.0,0.6,1
6,5,30.0,0.6,1
6,6,30.0,0.6,1
6,7,30.0,0.6,1
6,8,30.0,0.6,1
6,9,30.0,0.6,1
6,10,30.0,0.6,1
6,11,30.0,0.6,1
6,12,30.0,0.6,1
6,13,30.0,0.6,1
6,14,30.0,0.6,1
6,15,30.0,0.6,1
7,0,30.0,0.6,1
7,1,30.0,0.6,1
7,2,30.0,0.6,1
7,3,30.0,0.6,1
7,4,30.0,0.6,1
7,5,30.0,0.6,1
7,6,30.0,0.6,1
7,7,30.0,0.6,1
7,8,30.0,0.6,1
7,9,30.0,0.6,1
7,10,30.0,0.6,1
7,11,30.0,0.6,1
7,12,30.0,0.6,1
7,13,30.0,0.6,1
7,14,30.0,0.6,1
7,15,30.0,0.6,1
8,0,5.0,0.2,1
8,1,5.0,0.2,1
8,2,5.0,0.2,1
8,3,5.0,0.2,1
8,4,5.0,0.2,1
8,5,5.0,0.2,1
8,6,5.0,0.2,1
8,7,5.0,0.2,1
8,8,5.0,0.2,1
8,9,5.0,0.2,1
8,10,5.0,0.2,1
8,11,5.0,0.2,1
8,12,5.0,0.2,1
8,13,5.0,0.2,1
8,14,5.0,0.2,1
8,15,5.0,0.2,1
9,0,5.0,0.2,1
9,1,5.0,0.2,1
9,2,5.0,0.2,1
9,3,5.0,0.2,1
9,4,5.0,0.2,1
9,5,5.0,0.2,1
9,6,5.0,0.2,1
9,7,5.0,0.2,1
9,8,5.0,0.2,1
9,9,5.0,0.2,1
9,10,5.0,0.2,1
9,11,5.0,0.2,1
9,12,5.0,0.2,1
9,13,5.0,0.2,1
9,14,5.0,0.2,1
9,15,5.0,0.2,1
10,0,5.0,0.2,1
10,1,5.0,0.2,1
10,2,5.0,0.2,1
10,3,5.0,0.2,1
10,4,5.0,0.2,1
10,5,5.0,0.2,1
10,6,5.0,0.2,1
10,7,5.0,0.2,1
10,8,5.0,0.2,1
10,9,5.0,0.2,1
10,10,5.0,0.2,1
10,11,5.0,0.2,1
10,12,5.0,0.2,1
10,13,5.0,0.2,1
10,14,5.0,0.2,1
10,15,5.0,0.2,1
11,0,5.0,0.2,1
11,1,5.0,0.2,1
11,2,5.0,0.2,1
11,3,5.0,0.2,1
11,4,5.0,0.2,1
11,5,5.0,0.2,1
11,6,5.0,0.2,1
11,7,5.0,0.2,1
11,8,5.0,0.2,1
11,9,5.0,0.2,1
11,10,5.0,0.2,1
11,11,5.0,0.2,1
11,12,5.0,0.2,1
11,13,5.0,0.2,1
11,14,5.0,0.2,1
11,15,5.0,0.2,1
12,0,5.0,0.2,1
12,1,5.0,0.2,1
12,2,5.0,0.2,1
12,3,5.0,0.2,1
12,4,5.0,0.2,1
12,5,5.0,0.2,1
12,6,5.0,0.2,1
12,7,5.0,0.2,1
12,8,5.0,0.2,1
12,9,5.0,0.2,1
12,10,5.0,0.2,1
12,11,5.0,0.2,1
12,12,5.0,0.2,1
12,13,5.0,0.2,1
12,14,5.0,0.2,1
12,15,5.0,0.2,1
13,0,5.0,0.2,1
13,1,5.0,0.2,1
13,2,5.0,0.2,1
13,3,5.0,0.2,1
13,4,5.0,0.2,1
13,5,5.0,0.2,1
13,6,5.0,0.2,1
13,7,5.0,0.2,1
13,8,5.0,0.2,1
13,9,5.0,0.2,1
13,10,5.0,0.2,1
13,11,5.0,0.2,1
13,12,5.0,0.2,1
13,13,5.0,0.2,1
13,14,5.0,0.2,1
13,15,5.0,0.2,1
14,0,5.0,0.2,1
14,1,5.0,0.2,1
14,2,5.0,0.2,1
14,3,5.0,0.2,1
14,4,5.0,0.2,1
14,5,5.0,0.2,1
14,6,5.0,0.2,1
14,7,5.0,0.2,1
14,8,5.0,0.2,1
14,9,5.0,0.2,1
14,10,5.0,0.2,1
14,11,5.0,0.2,1
14,12,5.0,0.2,1
14,13,5.0,0.2,1
14,14,5.0,0.2,1
14,15,5.0,0.2,1
15,0,5.0,0.2,1
15,1,5.0,0.2,1
15,2,5.0,0.2,1
15,3,5.0,0.2,1
15,4,5.0,0.2,1
15,5,5.0,0.2,1
15,6,5.0,0.2,1
15,7,5.0,0.2,1
15,8,5.0,0.2,1
15,9,5.0,0.2,1
15,10,5.0,0.2,1
15,11,5.0,0.2,1
15,12,5.0,0.2,1
15,13,5.0,0.2,1
15,14,5.0,0.2,1
15,15,5.0,0.2,1
