x_m,y_m,tree_id,H_tree_m,H_crown_base_m,LAD_bulk,crown_area_frac,Cd_leaf,is_tree
112.5,137.5,70,40,20,2.0,0.7,0.2,1
112.5,162.5,71,40,20,2.0,0.7,0.2,1
112.5,187.5,72,40,20,2.0,0.7,0.2,1
112.5,212.5,73,40,20,2.0,0.7,0.2,1
112.5,237.5,74,40,20,2.0,0.7,0.2,1
112.5,262.5,75,40,20,2.0,0.7,0.2,1
112.5,287.5,76,40,20,2.0,0.7,0.2,1
112.5,312.5,77,40,20,2.0,0.7,0.2,1
112.5,337.5,78,40,20,2.0,0.7,0.2,1
112.5,362.5,79,40,20,2.0,0.7,0.2,1
112.5,387.5,80,40,20,2.0,0.7,0.2,1
137.5,12.5,81,40,20,2.0,0.7,0.2,1
137.5,37.5,82,40,20,2.0,0.7,0.2,1
137.5,62.5,83,40,20,2.0,0.7,0.2,1
137.5,87.5,84,40,20,2.0,0.7,0.2,1
137.5,112.5,85,40,20,2.0,0.7,0.2,1
137.5,137.5,86,40,20,2.0,0.7,0.2,1
137.5,162.5,87,40,20,2.0,0.7,0.2,1
137.5,187.5,88,40,20,2.0,0.7,0.2,1
137.5,212.5,89,40,20,2.0,0.7,0.2,1
137.5,237.5,90,40,20,2.0,0.7,0.2,1
137.5,262.5,91,40,20,2.0,0.7,0.2,1
137.5,287.5,92,40,20,2.0,0.7,0.2,1
137.5,312.5,93,40,20,2.0,0.7,0.2,1
137.5,337.5,94,40,20,2.0,0.7,0.2,1
137.5,362.5,95,40,20,2.0,0.7,0.2,1
137.5,387.5,96,40,20,2.0,0.7,0.2,1
162.5,12.5,97,40,20,2.0,0.7,0.2,1
162.5,37.5,98,40,20,2.0,0.7,0.2,1
162.5,62.5,99,40,20,2.0,0.7,0.2,1
162.5,87.5,100,40,20,2.0,0.7,0.2,1
162.5,112.5,101,40,20,2.0,0.7,0.2,1
162.5,137.5,102,40,20,2.0,0.7,0.2,1
162.5,162.5,103,40,20,2.0,0.7,0.2,1
162.5,187.5,104,40,20,2.0,0.7,0.2,1
162.5,212.5,105,40,20,2.0,0.7,0.2,1
162.5,237.5,106,40,20,2.0,0.7,0.2,1
162.5,262.5,107,40,20,2.0,0.7,0.2,1
162.5,287.5,108,40,20,2.0,0.7,0.2,1
162.5,312.5,109,40,20,2.0,0.7,0.2,1
162.5,337.5,110,40,20,2.0,0.7,0.2,1
162.5,362.5,111,40,20,2.0,0.7,0.2,1
162.5,387.5,112,40,20,2.0,0.7,0.2,1
187.5,12.5,113,40,20,2.0,0.7,0.2,1
187.5,37.5,114,40,20,2.0,0.7,0.2,1
187.5,62.5,115,40,20,2.0,0.7,0.2,1
187.5,87.5,116,40,20,2.0,0.7,0.2,1
187.5,112.5,117,40,20,2.0,0.7,0.2,1
187.5,137.5,118,40,20,2.0,0.7,0.2,1
187.5,162.5,119,40,20,2.0,0.7,0.2,1
187.5,187.5,120,40,20,2.0,0.7,0.2,1
187.5,212.5,121,40,20,2.0,0.7,0.2,1
187.5,237.5,122,40,20,2.0,0.7,0.2,1
187.5,262.5,123,40,20,2.0,0.7,0.2,1
187.5,287.5,124,40,20,2.0,0.7,0.2,1
187.5,312.5,125,40,20,2.0,0.7,0.2,1
187.5,337.5,126,40,20,2.0,0.7,0.2,1
187.5,362.5,127,40,20,2.0,0.7,0.2,1
187.5,387.5,128,40,20,2.0,0.7,0.2,1
